# 38396. 9782.3990014 7.2300000000000E-4
# 38401. 9783.0349008 9.4400000000000E-4
# 38402. 9783.1610773 1.1400000000000E-4
# 38403. 9783.2871187 2.3300000000000E-4
# 38404. 9783.4131053 9.3000000000000E-5
# 38405. 9783.5391172 1.9100000000000E-4
# 38441. 9788.0567153 6.4200000000000E-4
# 38445. 9788.5605429 0.001005
# 38447. 9788.8139244 4.5900000000000E-4
# 38449. 9789.0667493 0.001264
# 38467. 9791.3264941 0.001048
# 38468. 9791.4564443 0.00129
# 38469. 9791.5806703 4.0900000000000E-4
# 38470. 9791.7064106 3.7000000000000E-4
# 38471. 9791.8336308 0.001409
# 42698. 10323.4367682 0.001236
# 42699. 10323.5623996 0.00214
# 42700. 10323.6883692 0.001286
# 42701. 10323.8141018 0.001951
# 42702. 10323.9396583 0.001514
# 42703. 10324.0657104 0.001758
# 42704. 10324.191388 0.001493
# 42705. 10324.3170598 0.001533
# 42706. 10324.4430362 0.001803
# 42707. 10324.5686922 0.002553
# 42708. 10324.6943213 0.002117
# 42709. 10324.8202122 0.003031
# 42710. 10324.9461499 0.001891
# 42711. 10325.071695 0.002224
# 42712. 10325.1973552 0.002127
# 42713. 10325.3233473 0.001543
# 42714. 10325.4490296 0.001841
# 42715. 10325.5744721 0.002635
# 42716. 10325.7006077 0.002841
# 42717. 10325.8262979 0.001869
# 42718. 10325.9528201 2.9900000000000E-4
# 42719. 10326.0779216 0.001632
# 42720. 10326.2035229 0.002991
# 42721. 10326.3292506 0.00241
# 42722. 10326.4551547 0.002458
# 42723. 10326.5808692 0.002716
# 42724. 10326.7066823 0.002787
# 42725. 10326.8326736 0.002173
# 42726. 10326.9581528 0.00232
# 42727. 10327.0839322 0.002136
# 42728. 10327.209538 0.003549
# 42729. 10327.3353442 0.00364
# 42730. 10327.4611782 0.003847
# 42731. 10327.6150467 0.006633
# 42732. 10327.677936 0.003127
# 42733. 10327.8039091 0.002694
# 42734. 10327.9295195 0.003556
# 42735. 10328.0552239 0.003378
# 42738. 10328.4329092 0.003659
# 42739. 10328.6212719 0.008259
# 42740. 10328.7335194 8.4000000000000E-5
# 42741. 10328.8592681 0.006876
# 42742. 10328.9850863 0.005526
# 42743. 10329.1108103 0.006391
# 42744. 10329.2108628 0.004366
# 42745. 10329.3367668 0.003054
# 42746. 10329.4846062 0.00125
# 42747. 10329.610293 0.002157
# 42748. 10329.7233427 0.008539
# 42749. 10329.8508446 0.005669
# 42750. 10329.9764109 0.00389
# 42751. 10330.102348 0.004057
# 42774. 10333.0055393 1.2300000000000E-4
# 42804. 10336.774305 3.4000000000000E-4
# 42938. 10353.598502 5.5300000000000E-4
# 42939. 10353.7246651 8.1700000000000E-4
# 42990. 10360.1626958 8.5000000000000E-4
# 42991. 10360.2891867 8.9300000000000E-4
cycle time time_err
-2486.0 4640.8642 4e-05
-1891.0 4715.6944 4e-05
-1772.0 4730.6606 4e-05
-1557.0 4757.7001 4e-05
2.0 4953.768147 9e-06
3.0 4953.893998 9e-06
4.0 4954.019748 9e-06
5.0 4954.145493 8e-06
6.0 4954.271303 9e-06
7.0 4954.397048 1e-05
8.0 4954.522783 1e-05
9.0 4954.648588 9e-06
10.0 4954.77433 1e-05
11.0 4954.900077 1e-05
12.0 4955.025902 9e-06
13.0 4955.15165 8e-06
14.0 4955.277422 8e-06
15.0 4955.403183 1.2e-05
16.0 4955.528912 6e-06
17.0 4955.654688 8e-06
18.0 4955.780474 8e-06
19.0 4955.906238 1.1e-05
20.0 4956.032018 1e-05
21.0 4956.157779 1e-05
22.0 4956.283542 1.1e-05
23.0 4956.409295 6e-06
24.0 4956.535053 1e-05
25.0 4956.660821 7e-06
26.0 4956.786573 1.1e-05
27.0 4956.912325 9e-06
28.0 4957.038105 7e-06
29.0 4957.163903 1.1e-05
30.0 4957.289671 1.1e-05
31.0 4957.415395 8e-06
32.0 4957.541222 1.1e-05
33.0 4957.66696 1e-05
34.0 4957.792699 6e-06
35.0 4957.918501 7e-06
36.0 4958.044255 1.1e-05
37.0 4958.170016 6e-06
38.0 4958.295751 1e-05
39.0 4958.421544 9e-06
40.0 4958.547366 8e-06
41.0 4958.673085 1e-05
42.0 4958.798863 9e-06
43.0 4958.924642 1e-05
44.0 4959.050325 7e-06
45.0 4959.17613 1e-05
46.0 4959.301899 8e-06
47.0 4959.427648 8e-06
48.0 4959.553442 8e-06
49.0 4959.679167 7e-06
50.0 4959.804958 7e-06
51.0 4959.930734 1.1e-05
52.0 4960.056456 1e-05
53.0 4960.182242 6e-06
54.0 4960.308001 9e-06
55.0 4960.433778 1e-05
56.0 4960.559551 1e-05
57.0 4960.685327 5e-06
58.0 4960.811088 7e-06
59.0 4960.936815 9e-06
60.0 4961.062588 6e-06
61.0 4961.188379 5e-06
62.0 4961.314154 8e-06
63.0 4961.439878 8e-06
64.0 4961.565672 9e-06
65.0 4961.691447 1.3e-05
66.0 4961.817167 9e-06
67.0 4961.942966 1.1e-05
68.0 4962.068758 1.1e-05
69.0 4962.194484 8e-06
70.0 4962.320242 8e-06
71.0 4962.446002 8e-06
72.0 4962.571787 5e-06
73.0 4962.697566 7e-06
74.0 4962.823323 8e-06
75.0 4962.949085 9e-06
76.0 4963.074876 1.2e-05
77.0 4963.200612 8e-06
2569.0 5276.607665 1e-05
2570.0 5276.733516 1.3e-05
2571.0 5276.859252 1e-05
2572.0 5276.984984 6e-06
2573.0 5277.110788 6e-06
2574.0 5277.23657 1.1e-05
2575.0 5277.362292 1e-05
2576.0 5277.488073 6e-06
2577.0 5277.613793 1e-05
2578.0 5277.7396 7e-06
2579.0 5277.865346 1e-05
